"sample_id" "lat" "lon" "total_biomass_ug_m3" "calanoid_fraction" "krill_fraction" "chaetognath_fraction" "other_fraction"
"1" "2019_pos536_bongo10l_lrg" 33.1318333333333 -38.9811666666667 8097.43559675062 0.0485054023000768 0.220338485059047 0.00821886995816193 0.722937242682714
"2" "2019_pos536_bongo11l_lrg" 33.1363333333333 -38.9791666666667 8654.42046145753 0.117885308484524 0.288994224762634 0.0150726407932736 0.578047825959569
"3" "2019_pos536_bongo12l_lrg" 33.1387 -38.979 3944.51916909225 0.130896855117864 0.259060958275878 0.0376289624862475 0.572413224120011
"4" "2019_pos536_bongo13r_lrg" 34 -38 3974.15551067642 0.073522367691915 0.0167717658568324 0.0261949719381545 0.883510894513098
"5" "2019_pos536_bongo14l_lrg" 34 -38 14223.5073281065 0.017631529549183 0.0140878937232013 0.0307708958188609 0.937509680908755
"6" "2019_pos536_bongo15l_lrg" 34 -38 15522.5125933423 0.0895403362844137 0.122821382106805 0.00279008411931248 0.784848197489469
"7" "2019_pos536_bongo16r_lrg" 33 -37 2883.3382258127 0.165433006512861 0.304329015099943 0.0124887789114757 0.51774919947572
"8" "2019_pos536_bongo17l_lrg" 33 -37 21361.582753284 0.0817503244103202 0.152406383803303 0.00249281395738499 0.763350477828992
"9" "2019_pos536_bongo18r_lrg" 33.1516666666667 -37 1531.74552810825 0.300074230880606 0.437619037309843 0.0700694113883913 0.19223732042116
"10" "2019_pos536_bongo19r_lrg" 34 -37 4900.07816981832 0.0224801531788317 0.11481701762598 0.0386434658675817 0.824059363327606
"11" "2019_pos536_bongo20r_lrg" 34 -37 37850.2395971983 0.0277481038088744 0.0610749808649172 0.00425678766803496 0.906920127658174
"12" "2019_pos536_bongo21l_lrg" 34 -37 23138.1986589962 0.0121983603660343 0.0375518132381844 0.00849380204292227 0.941756024352859
"13" "2019_pos536_bongo22r_lrg" 33 -36 270.592762501154 0.2173907046696 0.155930191915044 0.190538591796526 0.436140511618831
"14" "2019_pos536_bongo23r_lrg" 33 -37 12949.1758428884 0.0144058173811758 0.0156759719945864 0.0268303009178689 0.943087909706369
"15" "2019_pos536_bongo24l_lrg" 33 -37 1062.44791862665 0.128532136554486 0.204738804970377 0.159562685537896 0.50716637293724
"16" "2019_pos536_bongo25r_lrg" 34 -37 904.073921181277 0.16676634977112 0.0663054062869981 0.104483360372585 0.662444883569297
"17" "2019_pos536_bongo26l_lrg" 34 -37 3728.29891646605 0.0339863243758543 0.0350437553052255 0.0347129149423501 0.89625700537657
"18" "2019_pos536_bongo27l_lrg" 34 -37 3308.54265093707 0.0254222697406064 0.0370329139039452 0.0469977902558675 0.890547026099581
"19" "2019_pos536_bongo28l_lrg" 33 -33 35720.4151895437 0.00465005033215979 0.00184853060767774 0.00108739734884752 0.992414021711315
"20" "2019_pos536_bongo29l_lrg" 33 -33 6950.60547990408 0.0218117215111993 0.02817040333572 0.0174725204531512 0.932545354699929
"21" "2019_pos536_bongo30r_lrg" 33 -33 794.474535745882 0.209882574274489 0.210716803895045 0.247970663565819 0.331429958264648
"22" "2019_pos536_bongo3l_lrg" 33.2625 -34.5648333333333 2298.35028359741 0.250879487169221 0.293520166673257 0.0208872781422125 0.434713068015309
"23" "2019_pos536_bongo4l_lrg" 33.15085 -39.9981666666667 24395.8405109541 0.0520472201708768 0.164926363163924 0.00311767052330796 0.779908746141891
"24" "2019_pos536_bongo5l_lrg" 33.1493333333333 -39.9995 10499.3318908696 0.0744480732788907 0.255722887079664 0.0107785235490792 0.659050516092366
"25" "2019_pos536_bongo6l_lrg" 33.1498333333333 -39.9985 2515.10415422817 0.131671737736 0.142234037869215 0.0244189068307394 0.701675317564046
"26" "2019_pos536_bongo7l_lrg" 34.6276666666667 -39.381 4203.86989852399 0.0535390426600576 0.365280408272439 0.00396394084684605 0.577216608220657
"27" "2019_pos536_bongo8r_lrg" 34.6423333333333 -39.4648333333333 25385.1128370414 0.093654968673132 0.0837438505594209 0.00524475671513106 0.817356424052316
"28" "2019_pos536_bongo9r_lrg" 34 -39 38728.2492360633 0.0156416925646991 0.0100461908264256 0.00215405742075472 0.97215805918812
"29" "2020_so279_bongo16a_lrg" 33.2351666666667 -33.8108166666667 6680.81842975642 0.0803388678866518 0.0219323465663925 0.0116600395314807 0.886068746015475
"30" "2020_so279_bongo17a_lrg" 33.2880333333333 -33.8242666666667 1815.74998822615 0.0801198468898006 0.0817966567494417 0.136161597032178 0.70192189932858
"31" "2020_so279_bongo18a_lrg" 33.3073 -33.8285333333333 2119.12556600001 0.0992260586084317 0.100733887176389 0.077203076570568 0.722836977644611
"32" "2020_so279_bongo1a_lrg" 31.2732666666667 -29.5420166666667 12804.9453130274 0.222425381185664 0.147839337068433 0.00751694217692955 0.622218339568973
"33" "2020_so279_bongo22a_lrg" 35.0695 -20.9118666666667 1882.80796441569 0.195979900173071 0.488559701013775 0.0280394140403161 0.287420984772838
"34" "2020_so279_bongo24a_lrg" 35.1222833333333 -20.8416666666667 699.12207448613 0.411300394905874 0.189269240175839 0.0235086744571582 0.375921690461129
"35" "2020_so279_bongo2a_lrg" 31.2953 -29.5526166666667 3987.27083896972 0.246302543164664 0.243030682722091 0.0279274431668728 0.482739330946372
"36" "2020_so279_bongo3a_lrg" 31.2444166666667 -33.9264666666667 2676.98515811261 0.329681487583211 0.200249551613774 0.0318917810238026 0.438177179779212
"37" "2020_so279_bongo4a_lrg" 31.2599166666667 -33.944 21567.8279760712 0.0172389199762044 0.0338177899915659 0.002671975389662 0.946271314642568
