"sample_id" "date" "time" "lat" "lon" "depth_min" "depth_max" "sample_volconc.x" "sample_volconc.y" "biomass_ug" "Actinopterygii" "Amphipoda" "Anguilliformes" "Annelida" "Appendicularia" "Bryozoa" "Calanoida" "calyptopsis<Euphausiacea" "Cephalopoda" "Chaetognatha" "Cirripedia" "Cnidaria<Metazoa" "Corycaeidae" "darksphere" "Decapoda" "egg<other" "Eucalanidae" "Euphausiacea" "Gastropoda" "gelatinous" "Harosa" "Harpacticoida" "Limacina" "Luciferidae" "Macrosetella" "multiple<other" "Myctophidae" "nauplii<Copepoda" "Oithonidae" "Ostracoda" "part<Crustacea" "Sapphirina" "Siphonophorae" "Thaliacea" "Thecosomata" "Unknowns" "zoea<Decapoda"
"11" "2019_pos536_bongo20r_lrg" 2019-08-30 "22:30" 34 -37 0 100 75284 75284 360 0.000119547314170342 0.000146113383985973 0 6.64151745390787e-05 1.32830349078157e-05 0 0.00139471866532065 0 0 0.000850114234100207 0.000451623186865735 5.3132139631263e-05 1.32830349078157e-05 1.32830349078157e-05 2.65660698156315e-05 3.98491047234472e-05 0 0.000478189256681367 0 3.98491047234472e-05 0 0 1.32830349078157e-05 6.64151745390787e-05 0 0.00018596248870942 1.32830349078157e-05 0 0 7.96982094468944e-05 0.000239094628340683 3.98491047234472e-05 0.000398491047234472 2.65660698156315e-05 0 0 1.32830349078157e-05
"12" "2019_pos536_bongo21l_lrg" 2019-08-30 "23:49" 34 -37 0 300 124467 124467 313 6.42740646115034e-05 5.62398065350655e-05 0 1.60685161528759e-05 0 0 0.000602569355732845 0 0 0.000690946194573662 0.000168719419605197 0 0 1.60685161528759e-05 1.60685161528759e-05 1.60685161528759e-05 0 0.000216924968063824 0 6.42740646115034e-05 0 0 8.03425807643793e-06 1.60685161528759e-05 0 0.00019282219383451 0 0 0 3.21370323057517e-05 0.000120513871146569 1.60685161528759e-05 0.000136582387299445 4.01712903821897e-05 8.03425807643793e-06 1.60685161528759e-05 0
"13" "2019_pos536_bongo22r_lrg" 2019-09-01 "13:07" 33 -36 0 10 78252 78252 117 7.66753565404079e-05 0 0 3.8337678270204e-05 0 0 0.000345039104431836 0 0 0.000600623626233195 2.5558452180136e-05 1.2779226090068e-05 1.2779226090068e-05 0 1.2779226090068e-05 0 0 0.000102233808720544 0 2.5558452180136e-05 0 0 0 0.00012779226090068 0 0 0 0 1.2779226090068e-05 1.2779226090068e-05 2.5558452180136e-05 1.2779226090068e-05 5.11169043602719e-05 0 0 0 0
"14" "2019_pos536_bongo23r_lrg" 2019-09-01 "14:10" 33 -37 0 100 10845455 10845455 1039 1.38306783809439e-06 9.22045225396261e-07 2.76613567618878e-07 8.29840702856634e-07 0 0 1.56747688317364e-05 0 9.2204522539626e-08 2.38809713377631e-05 2.48030165631594e-05 9.2204522539626e-08 9.22045225396261e-07 2.76613567618878e-07 4.6102261269813e-07 6.45431657777382e-07 0 2.4895221085699e-06 0 2.58172663110953e-06 0 0 9.2204522539626e-08 2.76613567618878e-07 0 9.12824773142298e-06 0 0 1.84409045079252e-07 1.01424974793589e-06 3.04274924380766e-06 2.39731758603028e-06 2.95054472126803e-06 8.29840702856634e-07 0 0 5.53227135237756e-07
"15" "2019_pos536_bongo24l_lrg" 2019-09-01 "15:26" 33 -37 0 300 273683 273683 386 2.92308985212819e-05 2.19231738909614e-05 0 1.4615449260641e-05 3.65386231516024e-06 0 0.000420194166243428 0 0 0.000336155332994742 8.03849709335253e-05 0 3.65386231516024e-06 3.65386231516024e-06 3.65386231516024e-06 0 0 0.00014980835492157 0 5.48079347274036e-05 0 0 0 1.4615449260641e-05 0 6.21156593577241e-05 0 0 0 1.09615869454807e-05 4.01924854667626e-05 2.92308985212819e-05 5.11540724122434e-05 6.94233839880446e-05 0 3.65386231516024e-06 7.30772463032048e-06
"16" "2019_pos536_bongo25r_lrg" 2019-09-02 "09:40" 34 -37 0 10 60363 60363 216 8.28321985322134e-05 0.000132531517651542 0 1.65664397064427e-05 1.65664397064427e-05 0 0.000878021304441462 0 0 0.00106025214121233 4.96993191193281e-05 1.65664397064427e-05 0 0 4.96993191193281e-05 1.65664397064427e-05 0 0.000149097957357984 0 4.96993191193281e-05 0 1.65664397064427e-05 0 0.000298195914715968 0 1.65664397064427e-05 0 0 0 3.31328794128854e-05 6.62657588257708e-05 1.65664397064427e-05 0.000612958269138379 0 0 0 0
"17" "2019_pos536_bongo26l_lrg" 2019-09-02 "10:35" 34 -37 0 100 70028 70028 149 4.28400068544011e-05 5.71200091392015e-05 0 1.42800022848004e-05 0 0 0.00038556006168961 0 1.42800022848004e-05 0.000571200091392015 0.000157080025132804 2.85600045696007e-05 2.85600045696007e-05 1.42800022848004e-05 1.42800022848004e-05 0 0 0.000171360027417604 0 5.71200091392015e-05 0 0 0 4.28400068544011e-05 0 0.000185640029702405 0 0 0 0 2.85600045696007e-05 1.42800022848004e-05 0.000242760038841606 4.28400068544011e-05 1.42800022848004e-05 0 0
"18" "2019_pos536_bongo27l_lrg" 2019-09-02 "11:49" 34 -37 0 300 273683 273683 382 4.38463477819229e-05 3.65386231516024e-05 0 1.4615449260641e-05 3.65386231516024e-06 0 0.000325193746049261 0 0 0.000431155753188908 1.82693115758012e-05 7.30772463032048e-06 7.30772463032048e-06 1.09615869454807e-05 0 7.30772463032048e-06 0 0.000109615869454807 0 3.28847608364422e-05 0 0 0 7.30772463032048e-06 0 9.50004201941662e-05 0 0 0 2.55770362061217e-05 2.19231738909614e-05 0.000102308144824487 6.57695216728843e-05 2.19231738909614e-05 7.30772463032048e-06 0 0
"19" "2019_pos536_bongo28l_lrg" 2019-09-04 "08:02" 33 -33 0 10 65567 65567 157 0.000137264172525813 7.62578736254518e-05 0 4.57547241752711e-05 0 0 0.000289779919776717 0 0 0.00042704409230253 1.52515747250904e-05 0.000213522046151265 0 1.52515747250904e-05 1.52515747250904e-05 6.10062989003615e-05 0 6.10062989003615e-05 0 4.57547241752711e-05 0 0 0 0.000106761023075633 0 0.000259276770326536 0 0 0 0 0.000122012597800723 3.05031494501807e-05 0.00042704409230253 1.52515747250904e-05 1.52515747250904e-05 0 1.52515747250904e-05
"20" "2019_pos536_bongo29l_lrg" 2019-09-04 "08:59" 33 -33 0 100 91679 91679 255 4.36304933518036e-05 0.00011998385671746 1.09076233379509e-05 0 0 0 0.000523565920221643 0 0 0.000698087893628857 0.000305413453462625 8.72609867036072e-05 0 0 0 0 0 0.000272690583448772 0 9.8168610041558e-05 0 0 2.18152466759018e-05 2.18152466759018e-05 0 3.27228700138527e-05 0 0 0 4.36304933518036e-05 0.000141799103393362 3.27228700138527e-05 0.000294505830124674 0 2.18152466759018e-05 0 1.09076233379509e-05
"21" "2019_pos536_bongo30r_lrg" 2019-09-04 "10:09" 33 -33 0 300 145122 145122 250 1.37815079726024e-05 1.37815079726024e-05 0 1.37815079726024e-05 0 0 0.000592604842821902 0 6.89075398630118e-06 0.00046857127106848 0.000110252063780819 1.37815079726024e-05 0 0 0 6.89075398630118e-06 0 0.000165378095671228 0 6.20167858767106e-05 0 6.89075398630118e-06 0 0 0 4.13445239178071e-05 0 0 0 1.37815079726024e-05 4.82352779041083e-05 4.13445239178071e-05 9.64705558082165e-05 0 6.89075398630118e-06 0 0
"22" "2019_pos536_bongo3l_lrg" 2019-08-20 "07:00" 33.2625 -34.5648333333333 0 100 232848.3 232848.3 494 8.58928323719778e-06 3.43571329487911e-05 0 0 0 0 0.00100065149713354 0 0 0.000184669589599752 0.000184669589599752 0 1.28839248557967e-05 3.43571329487911e-05 8.58928323719778e-06 0 0 0.000167491023125357 0 0.00015460709826956 0 4.29464161859889e-06 0 0 0 1.71785664743956e-05 4.29464161859889e-06 0 0 3.43571329487911e-05 0.000103071398846373 4.29464161859889e-06 0.000103071398846373 5.58303410417856e-05 4.29464161859889e-06 0 0
"23" "2019_pos536_bongo4l_lrg" 2019-08-23 "02:27" 33.15085 -39.9981666666667 0 100 49787.06 49787.06 675 8.0342161196102e-05 0.000140598782093178 0 0 0 0 0.00373591049561874 2.00855402990255e-05 2.00855402990255e-05 0.000180769862691229 0.00435856224488853 8.0342161196102e-05 2.00855402990255e-05 2.00855402990255e-05 4.0171080598051e-05 2.00855402990255e-05 0 0.00158675768362301 2.00855402990255e-05 0.000361539725382459 0 2.00855402990255e-05 2.00855402990255e-05 6.02566208970765e-05 0 0.000723079450764918 0 0 0 0.000642737289568816 0.000381625265681484 0.000321368644784408 0.000662822829867841 0 0 4.0171080598051e-05 0
"24" "2019_pos536_bongo5l_lrg" 2019-08-23 "03:23" 33.1493333333333 -39.9995 0 100 155889.2 155889.2 1115 3.84888754320376e-05 4.49036880040439e-05 0 4.49036880040439e-05 0 6.41481257200627e-06 0.00297647303341091 1.28296251440125e-05 0 0.001019955198949 0.000218103627448213 0 7.0562938292069e-05 6.41481257200627e-06 1.28296251440125e-05 1.92444377160188e-05 0 0.000551673881192539 0 7.0562938292069e-05 0 0 1.92444377160188e-05 1.28296251440125e-05 0 0.000840340446932821 6.41481257200627e-06 0 0 0.000314325816028307 0.000230933252592226 0.000115466626296113 0.000134711064012132 0.000359229504032351 1.28296251440125e-05 1.28296251440125e-05 0
