"sample_id" "lat" "lon" "total_abundance_m3" "calanoid_fraction" "krill_fraction" "chaetognath_fraction" "fish_fraction" "salp_fraction" "harpacticoid_fraction" "other_fraction"
"1" "2019_pos536_bongo10l_lrg" 33.1318333333333 -38.9811666666667 8.82436735589178 0.242857142857143 0.0885714285714286 0.12 0.0523809523809524 0.04 0.00571428571428571 0.45047619047619
"2" "2019_pos536_bongo11l_lrg" 33.1363333333333 -38.9791666666667 7.944990940424 0.362110311750599 0.0775379696243006 0.14308553157474 0.0167865707434053 0.0431654676258993 0.000799360511590727 0.356514788169464
"3" "2019_pos536_bongo12l_lrg" 33.1387 -38.979 4.58200731872668 0.344232515894641 0.0599455040871935 0.197093551316985 0.0181653042688465 0.0717529518619437 0.000908265213442325 0.307901907356948
"4" "2019_pos536_bongo13r_lrg" 34 -38 0.00695072755184019 0.42814371257485 0.0203592814371257 0.15748502994012 0.0688622754491018 0.00479041916167665 0.0167664670658683 0.303592814371258
"5" "2019_pos536_bongo14l_lrg" 34 -38 10.239899295553 0.278284363390746 0.0310705842620736 0.302938196555218 0.0151975683890577 0.0155352921310368 0.00101317122593718 0.35596082404593
"6" "2019_pos536_bongo15l_lrg" 34 -38 4.41322903306439 0.436397400185701 0.129062209842154 0.0584958217270195 0.00557103064066852 0.0445682451253482 0.00185701021355617 0.324048282265552
"7" "2019_pos536_bongo16r_lrg" 33 -37 3.50699495084115 0.469055374592834 0.111834961997828 0.0738327904451683 0.00868621064060804 0.00217155266015201 0 0.334419109663409
"8" "2019_pos536_bongo17l_lrg" 33 -37 5.67526063276772 0.463865546218487 0.117647058823529 0.0647058823529412 0.00756302521008403 0.00420168067226891 0 0.342016806722689
"9" "2019_pos536_bongo18r_lrg" 33.1516666666667 -37 1.602426531605 0.422619047619048 0.12797619047619 0.157738095238095 0.00595238095238095 0.0208333333333333 0 0.264880952380952
"10" "2019_pos536_bongo19r_lrg" 34 -37 5.30932946830422 0.0689655172413793 0.0660919540229885 0.198275862068965 0.0890804597701149 0.00574712643678161 0 0.57183908045977
"11" "2019_pos536_bongo20r_lrg" 34 -37 4.78189256681367 0.291666666666667 0.1 0.177777777777778 0.025 0.00555555555555556 0 0.4
"12" "2019_pos536_bongo21l_lrg" 34 -37 2.51472277792507 0.23961661341853 0.0862619808306709 0.274760383386581 0.0255591054313099 0.0159744408945687 0 0.357827476038339
"13" "2019_pos536_bongo22r_lrg" 33 -36 1.49516945253795 0.230769230769231 0.0683760683760684 0.401709401709402 0.0512820512820513 0 0 0.247863247863248
"14" "2019_pos536_bongo23r_lrg" 33 -37 0.0958004989186715 0.163618864292589 0.0259865255052936 0.249278152069297 0.014436958614052 0.00866217516843119 0 0.538017324350337
"15" "2019_pos536_bongo24l_lrg" 33 -37 1.41039085365185 0.297927461139896 0.106217616580311 0.238341968911917 0.0207253886010363 0.0492227979274611 0 0.287564766839378
"16" "2019_pos536_bongo25r_lrg" 34 -37 3.57835097659162 0.24537037037037 0.0416666666666667 0.296296296296296 0.0231481481481481 0 0.00462962962962963 0.388888888888889
"17" "2019_pos536_bongo26l_lrg" 34 -37 2.12772034043525 0.181208053691275 0.0805369127516778 0.268456375838926 0.0201342281879195 0.0201342281879195 0 0.429530201342282
"18" "2019_pos536_bongo27l_lrg" 34 -37 1.39577540439121 0.232984293193717 0.0785340314136126 0.308900523560209 0.031413612565445 0.0157068062827225 0 0.332460732984293
"19" "2019_pos536_bongo28l_lrg" 33 -33 2.39449723183919 0.121019108280255 0.0254777070063694 0.178343949044586 0.0573248407643312 0.00636942675159236 0 0.611464968152866
"20" "2019_pos536_bongo29l_lrg" 33 -33 2.78144395117748 0.188235294117647 0.0980392156862745 0.250980392156863 0.0156862745098039 0 0 0.447058823529412
"21" "2019_pos536_bongo30r_lrg" 33 -33 1.7226884965753 0.344 0.096 0.272 0.008 0 0.004 0.276
"22" "2019_pos536_bongo3l_lrg" 33.2625 -34.5648333333333 2.12155295958785 0.47165991902834 0.0789473684210526 0.0870445344129555 0.00404858299595142 0.0263157894736842 0.00202429149797571 0.32995951417004
"23" "2019_pos536_bongo4l_lrg" 33.15085 -39.9981666666667 13.5577397018422 0.275555555555556 0.117037037037037 0.0133333333333333 0.00592592592592593 0 0.00148148148148148 0.586666666666667
"24" "2019_pos536_bongo5l_lrg" 33.1493333333333 -39.9995 7.15251601778699 0.416143497757848 0.0771300448430493 0.142600896860987 0.00538116591928251 0.0502242152466368 0 0.308520179372197
"25" "2019_pos536_bongo6l_lrg" 33.1498333333333 -39.9985 3.52132812296921 0.389763779527559 0.0610236220472441 0.137795275590551 0.00492125984251968 0.106299212598425 0.000984251968503937 0.299212598425197
"26" "2019_pos536_bongo7l_lrg" 34.6276666666667 -39.381 4.0286621414662 0.232514177693762 0.298676748582231 0.0321361058601134 0.0642722117202268 0 0.0113421550094518 0.361058601134216
"27" "2019_pos536_bongo8r_lrg" 34.6423333333333 -39.4648333333333 7.26986486508464 0.565995525727069 0.119686800894855 0.052572706935123 0.0167785234899329 0.00447427293064877 0.00111856823266219 0.239373601789709
"28" "2019_pos536_bongo9r_lrg" 34 -39 6.9563938925312 0.323287671232877 0.0332681017612525 0.0888454011741683 0.0117416829745597 0.205088062622309 0.000782778864970646 0.336986301369863
"29" "2020_so279_bongo16a_lrg" 33.2351666666667 -33.8108166666667 0.000763464178098324 0.44100580270793 0.0522243713733075 0.239845261121857 0.0290135396518375 0.00386847195357834 0 0.234042553191489
