"sample_id" "date" "time" "lat" "lon" "depth_min" "depth_max" "sample_volconc" "total_biomass_ug_m3" "Actinopterygii" "Amphipoda" "Anguilliformes" "Annelida" "Appendicularia" "Bryozoa" "Calanoida" "calyptopsis<Euphausiacea" "Cephalopoda" "Chaetognatha" "Cirripedia" "Cnidaria<Metazoa" "Corycaeidae" "Decapoda" "egg<Actinopterygii" "egg<other" "Eucalanidae" "Euphausiacea" "Gastropoda" "gelatinous" "Limacina" "Luciferidae" "Macrosetella" "multiple<other" "Myctophidae" "nauplii<Copepoda" "Oithonidae" "Ostracoda" "part<Crustacea" "Sapphirina" "scale" "Siphonophorae" "Thaliacea" "Thecosomata" "Unknowns" "zoea<Decapoda"
"1" "2019_pos536_bongo10l_lrg" 2019-08-25 "22:49" 33.1318333333333 -38.9811666666667 0 10 118988.73 8097.43559675062 134.633617693023 91.5896193429675 0 159.264767212815 7.10483815821772 0 392.769371219352 1.629400898224 72.3283872024384 66.5517701642847 71.3287340307603 0.953111111783366 1.86729147627124 0 0 1.60660584301702 0 1784.17669225124 0 19.6767419182241 2.30456541889069 41.8259091775305 0 2501.65618400654 0 0 0 89.2029806713444 28.0099131761727 19.3392398027191 0 139.593129460475 2458.9751281011 10.9031194019819 0.144479011262659 0
"2" "2019_pos536_bongo11l_lrg" 2019-08-25 "23:47" 33.1363333333333 -38.9791666666667 0 100 157457.655 8654.42046145753 471.257044907158 38.5268627831046 0.39706564190385 159.871368788135 0.425570041583949 0 1020.2290258537 0.144959795657078 26.6601662793137 130.444970889506 43.6312077180411 3.91824708472613 2.01163748784241 0 0 0.658726317768075 0 2501.07753202879 0 17.2668031004423 5.6949137721205 10.9752900266101 0 3585.03598364548 0 0 0 45.5640490607952 36.6228997838925 23.656635829821 0 55.5707817331097 470.534131970725 3.75366752009371 0.490919397210087 0
"3" "2019_pos536_bongo12l_lrg" 2019-08-26 "00:59" 33.1387 -38.979 0 300 240287.715 3944.51916909225 447.458215550887 81.4414002693742 0 38.5301645187567 0.181160977864822 0 516.325154186305 0.570605496403987 0 148.428163840056 28.5499464731711 7.3408995691137 0.541567470503001 0 0.975123614264747 6.01510837208129 0 1021.87091588261 0 14.3538591032206 0.651261983725021 5.26971816973082 0 842.576502962899 0 0 0.106913941178619 15.1141246664329 18.6584033355101 50.6280856762422 0 169.197086739334 525.2009579868 0 1.38322175256532 3.15060655321916
"4" "2019_pos536_bongo13r_lrg" 2019-08-28 "18:29" 34 -38 0 10 262618.16 3974.15551067642 134.117550884635 24.6035091297697 0 4.9793611117871 2.59428213198215 0 292.189322720802 0.963916524456993 0 104.102892080031 0.0949009351833946 27.3531319735483 0 13.1443086127029 0 3.45264842357892 0 66.6536057037051 0 130.281462073958 0 31.9688328948174 0 2213.68294793359 0 2.17122565008127 1.54765145520464 0.434652616018691 17.0082569248342 36.6941117812903 0 201.860929259707 664.256009854742 0 0 0
"5" "2019_pos536_bongo14l_lrg" 2019-08-28 "19:20" 34 -38 0 100 289163.385 14223.5073281065 1059.26616941441 25.754669211509 0 4.45785845044581 0.210895267730772 0 250.782189748532 0.260126828760561 20.8368496484803 437.67006217197 127.860244517846 1.61171944325049 3.36196868840834 18.0944175229848 0 9.04772667004511 0 200.37925960954 0 160.444161918495 0 6.59189580296652 0 11306.3942097572 0 0 0.842803949962466 4.59225639790878 83.8750875880922 47.3792282440411 0 217.428985369447 228.417075949875 0.328076368313702 7.61938956628446 0
"6" "2019_pos536_bongo15l_lrg" 2019-08-28 "20:31" 34 -38 0 300 244039.23 15522.5125933423 16.1539967048844 12.8943226071895 0 12.3262930513123 0.243259954519277 44.4214318802558 1389.89099758691 0 34.4734800250352 43.3091158785122 49.8626587817707 6.0684478164814 0.183549443791251 0 0 0.245138674862647 0 1906.49645048458 0 60.6408687587878 0.66400578254092 25.4652016570598 0.0865070759122451 11651.6148629779 0 0 0 17.2002166078148 30.0118548552004 30.9928187858054 2.01819252980668 33.4468382997249 145.428497831564 2.72682126233482 0 5.64676402774069
"7" "2019_pos536_bongo16r_lrg" 2019-08-30 "02:34" 33 -37 0 10 262618.16 2883.3382258127 6.05306235759669 11.8802681743801 0 4.03045630820782 1.50497679913479 2.91617203645294 476.999311489654 0.807442567314564 3.02314505515373 36.0093736291814 1.48463838161499 0.14105240829627 0.317383331246719 398.129766961231 0 0.483490836952091 0 877.483482461596 0 73.5589009699263 0 229.215405085922 0 596.583176064308 0 0 0 22.0822235796336 23.3927699023795 0 0 110.593554983596 3.64233942868715 2.47075579176144 0 0.535077208473633
"8" "2019_pos536_bongo17l_lrg" 2019-08-30 "03:32" 33 -37 0 100 209682.135 21361.582753284 675.970470472894 347.166250364532 0 18.6076374361394 4.20858834314786 0 1746.31631999887 0.113206351067996 0 53.2504516392209 68.6647842681807 18.2289284427412 0.56531005460255 9.47849292065093 1.09470473671854 1.27171460070991 0 3255.64157974302 0 55.608669540589 0 5.95622712872016 0 13499.0328370225 1251.24935664373 0 0.116471920340359 40.0810903018614 171.282740922767 5.47763810982098 7.4464839090572 63.8047996771121 41.7213769830687 19.2266217519003 0 0
"9" "2019_pos536_bongo18r_lrg" 2019-08-30 "04:48" 33.1516666666667 -37 0 100 167101.38 1531.74552810825 1.64506190838236 9.24210591310379 0 13.6888426333477 2.86931935383975 0 459.63736125189 0 0 107.328507551346 17.4815143363313 0 0 0 0 0 0 670.321003414388 0 5.09759580377174 0.685796747154921 27.5707284210144 0 103.275269807816 0 0 0 16.4501089551547 5.35005428442601 32.9069293328708 0 32.0080793633851 26.1872490300265 0 0 0
"10" "2019_pos536_bongo19r_lrg" 2019-08-30 "21:21" 34 -37 0 10 65545.5375 4900.07816981832 308.329919463484 693.924159202972 0 152.795247047601 0.323730343462977 0 110.154507845765 0 6.11200840153238 189.356003503856 4.49364174066246 3.03456953029261 0.304971907661986 54.117519439259 0 2.39770645818413 0 562.612361592711 0 18.8967382576318 3.58996202057467 481.078855910617 0 1533.21077640563 0 0 0.373850194292844 42.3196057822391 23.7952040009138 23.0912770212543 1.87067577002498 591.409488206295 25.2715849586001 0 0 67.2138048128004
